id,code,name,dept_id,credits,description,avg_gpa,difficulty,enrollment,rating
AERO222,AERO 222,Introduction to Aerospace Computation,AERO,3,"Review of basic skills required for developing computer programs and introduction to more advanced concepts in scientific computing to solve aerospace engineering problems; numerical and analytical methods of solving engineering problems involving interpolation and extrapolation; function approximation; numerical differentiation; integration; solutions to linear and non-linear equations and systems of equations; eigenvalues and eigenvectors, numerical integration of differential equations with aerospace engineering applications.",3.21,Challenging,202,2.4
AERO285,AERO 285,Directed Studies,AERO,4,Directed study of special problems in aerospace engineering.  May be repeated for credit.,-1,Unknown,0,3.0
AERO289,AERO 289,Special Topics in...,AERO,4,Selected topics in an identified area of aerospace engineering. May be repeated for credit.,-1,Unknown,0,3.0
AERO291,AERO 291,Research,AERO,4,Research conducted under the direction of faculty member in aerospace engineering. May be taken three times.,-1,Unknown,0,3.0
AERO299,AERO 299,Mid-Curriculum Professional Development,AERO,0,Participation in an approved high-impact learning practice; reflection on professional outcomes from engineering body of knowledge; documentation and self-assessment of learning experience at mid-curriculum point.,-1,Unknown,0,3.0
AERO301,AERO 301,Theoretical Aerodynamics,AERO,3,"Conservation of mass and momentum; Reynolds transport theorem; fundamentals of incompressible flow, rotationality, potential flow, superposition, circulation, lift, thin airfoil theory, elliptic wing theory and induced drag.",3.12,Challenging,171,3.1
AERO303,AERO 303,High Speed Aerodynamics,AERO,3,"Fundamentals of compressible flow; governing Euler equations; adiabatic and isentropic flow; normal and oblique shocks and expansion waves, moving shocks, shock interactions, wedge and cone flow; supersonic airfoils, exact and thin theory, choked flow and wind-tunnel design, two-dimensional gas dynamics, and method of characteristics.",2.83,Challenging,47,4.7
AERO304,AERO 304,Aerospace Structural Analysis I,AERO,3,"Three-dimensional beam theory; applications of elasticity theory to beam extension and compression, bending, torsion and transverse shearing; combined loading; analysis of thin-walled structures; stress concentrations; analysis of stability of aerospace structures; elements of structural failure, buckling; structural design considerations.",2.96,Challenging,93,2.3
AERO306,AERO 306,Aerospace Structural Analysis II,AERO,3,"Work and energy principles; analysis of indeterminate structures by classical virtual work and finite elements; introduction to elastic stability of columns; application of energy methods to determine stresses, strains and displacements in typical aerospace structures; design considerations in aerospace structures.",3.48,Moderate,137,2.5
AERO307,AERO 307,Aerospace Engineering Laboratory,AERO,3,"Intermediate and advanced topics in instrumentation, signal conditioning, data acquisition analysis for aerospace-related measurements; emphasis on technical reporting and data presentation; measurements of materials strain, deformation, pressure, velocity and aerodynamic forces; experimental investigations of static and dynamic response of structures; use of nonintrusive optical techniques; uncertainty analysis; linear regression, Fourier transform and power spectra; tests for statistical significance; design of experiments.",3.48,Moderate,102,3.8
AERO310,AERO 310,Aerospace Dynamics,AERO,3,Spatial kinematics; general motion of particles; Euler angles; Newton-Euler methods for translation and rotation of rigid bodies; work-energy and impulse momentum principles applied to aerospace systems; Linear theory of free dynamic response of single and multi-degree of freedom systems; frequency response of first and second order systems with instrumentation applications.,2.91,Challenging,70,3.0
AERO321,AERO 321,Dynamics of Aerospace Vehicles,AERO,3,"Derivation of the nonlinear air and space vehicle dynamics equations; attitude representation with Euler angles and quaternions; forces and moments due to aerodynamics, thrust and gravity gradient; linearization; development of state-space models for aircraft and spacecraft; static and dynamic stability analysis for aircraft and satellites; spin and gravity gradient stabilization; stability derivatives; longitudinal and lateral modes and transfer functions for aircraft; aircraft flying qualities; elements of aircraft configuration design; response to control inputs.",2.74,Challenging,156,2.1
AERO351,AERO 351,Aerothermodynamics and Propulsion,AERO,3,"Aerothermodynamics of gases; laws of thermodynamics; equilibrium conditions; mixtures of gases; combustion and thermochemistry; compressible internal flows with friction, heat transfer and shock; turbojet cycle analysis and performance; chemical rockets.",2.68,Intensive,143,2.5
AERO401,AERO 401,Aerospace Design Principles,AERO,3,"Study of systems engineering; project lifecycle; stakeholder, concept of operations (CONOPS) & requirements definition; cost assessment; risk management; trade studies; decomposition and design of an aerospace system; engineering ethics; technical communications.",3.82,Light,37,4.9
AERO402,AERO 402,Aerospace Systems Design,AERO,2,"Continuation of AERO 401 ; detailed design; subsystem integration; realization of the system through prototyping, modeling, and/or simulation; verification and validation through experimentation and analysis; documentation and presentation of results.",3.95,Light,174,3.0
AERO404,AERO 404,Mechanics of Advanced Aerospace Structures,AERO,3,"Advanced analysis techniques for aerospace structures; material anisotropy, plasticity, fatigue and fracture; laminated materials; solution of plane elasticity, plate and multi-component structural configurations; buckling of beams and plates; application of finite element analysis.",3.9,Light,44,3.0
AERO405,AERO 405,Aerospace Structural Design,AERO,3,Overall structural integrity of complete aerospace systems; structures subjected to critical loads; design considerations in aerospace structures.,3.54,Moderate,0,4.3
AERO411,AERO 411,Applications of Fracture Mechanics to Aerospace Structures,AERO,3,Foundations of linear elastic fracture mechanics of aerospace structure; calculation of stress intensity factors and energy release rates; crack growth under fatigue loading; ASTM standards for fracture testing; the role of fracture mechanics in the analysis and design of aerospace structures.,-1,Unknown,0,3.0
AERO413,AERO 413,Aerospace Materials Science,AERO,3,Relationship between aerospace engineering material properties and microstructure; mechanical and thermal properties; environmental degradation; mechanical failure.,3.08,Challenging,132,2.9
AERO414,AERO 414,Human Performance in Aerospace Environments,AERO,3,Current physiological and psychological aspects affecting human performance during space missions using a quantitative approach and engineering methods.,3.36,Moderate,27,3.0
AERO415,AERO 415,Computational Fluid Dynamics for Aerospace Applications,AERO,3,"Present methods for solving internal and external flow problems for inviscid and viscous compressible flow; Euler, Navier-Stokes and Large Eddy Simulation solvers, boundary conditions formulation, and basics of parallel processing.",2.91,Challenging,38,1.8
AERO417,AERO 417,Aerospace Propulsion,AERO,3,"Air breathing propulsion; design and analysis of inlets, compressors, combustors, turbines and nozzles; application to aeronautical and ground transportation.",3.16,Challenging,0,3.0
AERO419,AERO 419,Chemical Rocket Propulsion,AERO,3,"Nozzles and heat transfer in rockets, liquid and solid propellant systems; combustion and combustion stability; flight performance including trajectories, multistaging and exchange rate curves; rocket testing.",-1,Unknown,0,3.0
AERO420,AERO 420,Aeroelasticity,AERO,3,"Classical analysis of fundamental aeroelastic phenomena with application to aerospace vehicles; flutter, divergence, control effectiveness.",-1,Unknown,0,2.8
AERO422,AERO 422,Active Controls for Aerospace Vehicles,AERO,3,"Introduction to the Theory of Automatic Control specifically applied to aerospace vehicles; techniques for analysis and synthesis of linear control systems, stability criteria, systems response and performance criteria; design studies of active controls to improve aerospace vehicle performance.",2.85,Challenging,136,3.0
AERO423,AERO 423,Orbital Mechanics,AERO,3,"Two-body problem, restricted three-body problem, orbital perturbations, orbital maneuvers, interplanetary trajectories, orbit determination and other selected topics.",3.11,Challenging,86,2.5
AERO424,AERO 424,Spacecraft Attitude Dynamics and Control,AERO,3,"Introduces fundamental concepts of satellite attitude dynamics and control; includes derivations of environmental disturbances due to gravity gradient, aerodynamic, and solar radiation pressure; includes treatments of attitude control subsystems, such as thrusters, reaction wheels, CMGs, and magnetic torquers, and their designs.",3.11,Challenging,12,2.0
AERO425,AERO 425,Flight Test Engineering,AERO,3,"Application of performance and stability and control theory to flight test measurements; standard atmosphere and airspeed equations for pilot-static system calibrations; flight test methods for evaluating performance, stability and control, and stall-spin characteristics; laboratory practice in planning and conducting small flight test project.",-1,Unknown,0,3.0
AERO426,AERO 426,Space System Design,AERO,3,Introduces prevailing practices and processes used in modern space system design; applies knowledge in component engineering disciplines to a design challenge of interest to NASA or DoD; utilizes instruction in systematic methods of design and on dynamics of teamwork; when possible concludes with detailed design using an engineering design facility.,-1,Unknown,0,3.0
AERO428,AERO 428,Electromagnetic Sensing for Space-Borne Imaging,AERO,3,"Study IR and Visible range imaging systems to obtain high resolution imaging of objects from space; this area has numerous applications and areas of advanced development; following instruction in needed background on optics, telescopes, and interferometry, perform preliminary design of imaging system with a different imaging design offered each year.",-1,Unknown,0,3.0
AERO430,AERO 430,Numerical Simulation,AERO,3,"Numerical and analytical simulation of physical problems in sciences and engineering using applied methods; developing and using numerical techniques for physical problems described by nonlinear algebraic equations, ordinary and partial differential equations.",3.81,Light,49,3.0
AERO435,AERO 435,Aerothermochemistry,AERO,3,"Composition of chemically reacting gases (air and propellant); thermodynamic functions based on classical and quantum mechanical theories; calculation of gas temperatures; equilibrium, frozen and non-equilibrium flows through nozzles and shock waves.",-1,Unknown,0,3.0
AERO436,AERO 436,Human Factors Engineering for Aerospace Designs,AERO,3,Physiological and psychophysiological issues encountered in aviation and space environments and their effect on human cognitive and physical performance; survey methods for human workload and performance evaluations; apply human-systems design principles to an aerospace design project.,3.51,Moderate,40,3.0
AERO438,AERO 438,Intuitive and Counter-Intuitive Mechanisms,AERO,3,"Spatial descriptions and transformations; forward and inverse kinematics of mechanical manipulators; manipulation; dexterity and manipulability; principles of manipulator-mechanism design; mobility; motion planning; control, reachability and complexity measures; workspace analysis.",-1,Unknown,0,3.0
AERO440,AERO 440,Cockpit Systems and Displays,AERO,3,"Design, development, and implementation of cockpit systems and multi-function displays; cockpit system requirements and specifications; human-machine interfaces, Flight Management Systems, navigation and guidance systems; 3-D real-time displays of weather, traffic, and terrain; characteristics and missions of air vehicles; project design and cost analysis.",-1,Unknown,0,3.0
AERO445,AERO 445,Vehicle Management Systems,AERO,3,"Introduction to vehicle management systems for manned and unmanned air and space vehicles; system centric concepts, requirements definition, specifications, and architectures; reliability analysis, health monitoring, and mission management; SISO digital design of integrated flight control, propulsion control and structural control; introduction to vehicle autonomy; design and analysis methods, industrial examples.",-1,Unknown,0,3.0
AERO451,AERO 451,Human Spaceflight Operations,AERO,3,"Essential aspects of human spaceflight operations as performed by NASA; in-depth understanding of the state-of-the-art in spacecraft operations, including spacecraft systems, ground and launch operations, mission management and on-orbit activities such as science, robotics, spacewalking and human health maintenance; applications to future space systems.",3.83,Light,65,3.0
AERO452,AERO 452,Heat Transfer and Viscous Flows,AERO,3,Navier-Stokes and boundary layer equations; exact and approximate solutions; laminar boundary layers; basic concepts of transition and turbulence; turbulent boundary layers; one and two dimensional heat transfer; methods for steady and transient heat conduction; thermal boundary layers; convection; radiation.,2.91,Challenging,138,4.4
AERO455,AERO 455,Helicopter Aerodynamics,AERO,3,"Hovering theory, hovering and vertical flight performance, factors affecting hovering and vertical flight performance, auto-rotation in vertical descent, concepts of blade motion and control, aerodynamics of forward flight, forward flight performance, operational envelope and introduction to conceptual design of helicopters.",3.22,Challenging,0,4.8
AERO472,AERO 472,Airfoil and Wing Design,AERO,3,"Subsonic airfoil design and analysis, subsonic wing design and analysis, swept and delta wings, vortex lift, transonic flow methods, viscous transonic phenomena, transonic airfoil and wing design, optimization and advanced topics such as supersonic panel methods.",-1,Unknown,0,3.0
AERO478,AERO 478,"Low Temperature Plasma - Theory, Modeling, Applications",AERO,3,"Basic theory and fundamentals of low-temperature plasma, elements of plasma kinetic theory, equilibrium and non-equilibrium plasma, modeling approaches, plasma discharges.",3.29,Challenging,16,3.0
AERO481,AERO 481,Seminar,AERO,1,"Readings, reports, conferences and discussion. Must be taken on a satisfactory/unsatisfactory basis.",-1,Unknown,0,3.0
AERO485,AERO 485,Directed Studies,AERO,4,Special problems in aerospace engineering assigned to individual students or groups.,-1,Unknown,0,4.8
AERO489,AERO 489,Special Topics in...,AERO,4,Selected topics in an identified field of aerospace engineering. May be repeated for credit.,3.64,Moderate,88,3.0
AERO491,AERO 491,Research,AERO,4,Research conducted under the direction of faculty member in aerospace engineering. May be repeated 3 times for credit.,4.0,Light,11,3.0
AERS101,AERS 101,Air Force Heritage and Values I,AERS,1,"Introduction to the Department of the Air Force (DAF) and Air Force Reserve Officer Training Corps (AFROTC); overview of officership, officer opportunities and benefits, and DAF heritage and values and operations.",3.94,Light,0,3.0
AERS102,AERS 102,Air Force Heritage and Values II,AERS,1,"Continuation of AERS 101 ; introduction to the Department of the Air Force (DAF) and Air Force Reserve Officer Training Corps (AFROTC); overview of officership, officer opportunities and benefits, and DAF heritage and values and operations.",3.97,Light,308,3.0
AERS105,AERS 105,AFROTC Leadership Lab I,AERS,1,Dynamic leadership development activities designed to prepare prospective Department of the Air Force second lieutenants and complement the AFROTC academics with experiential learning. May be taken six times for credit. Must be taken on a satisfactory/unsatisfactory basis.,-1,Unknown,0,3.0
AERS106,AERS 106,AFROTC Leadership Lab II,AERS,1,Continuation of AERS 105 ; dynamic leadership development activities designed to prepare prospective Department of the Air Force second lieutenants and complement the AFROTC academics with experiential learning. May be taken four times for credit. Must be taken on a satisfactory/unsatisfactory basis.,-1,Unknown,0,3.0
AERS201,AERS 201,Team and Leadership Fundamentals I,AERS,1,"Fundamental survey of leadership and team building through topics such as followership, listening, ethical decision-making, and conflict management. Must be taken on a satisfactory/unsatisfactory basis.",3.99,Light,0,3.0
AERS202,AERS 202,Team and Leadership Fundamentals II,AERS,1,"Continuation of AERS 201 ; fundamental survey of leadership and team building through topics such as followership, listening, ethical decision-making, and conflict management.",3.96,Light,150,3.0
AERS303,AERS 303,Leading People and Effective Communication I,AERS,3,"In-depth look at leadership through topic-guided discussions and verbal communications in Department of the Air Force formats; leadership, management fundamentals, professional knowledge, Air Force personnel and evaluation systems, and leadership ethics with case studies of leadership and management situations as a means of demonstrating and exercising practical application of concepts.",4.0,Light,0,3.0
AERS304,AERS 304,Leading People and Effective Communication II,AERS,3,"Continuation of AERS 303 with an in-depth look at leadership through topic-guided discussions and verbal communications in Department of the Air Force formats; leadership, management fundamentals, professional knowledge, Air Force personnel and evaluation systems, and leadership ethics with case studies of leadership and management situations as a means of demonstrating and exercising practical application of concepts.",4.0,Light,95,3.0
AERS403,AERS 403,"National Security Affairs, Leadership Responsibilities, and Commissioning Preparation I",AERS,3,"Examination of the Constitution, national security processes, the military's role in society, and the military justice system; preparation for life as a second lieutenant in the Department of the Air Force.",4.0,Light,0,3.0
AERS404,AERS 404,"National Security Affairs, Leadership Responsibilities, and Commissioning Preparation II",AERS,3,"Continuation of AERS 403 ; examination of the Constitution, national security processes, the military's role in society, and the military justice system; prepares students for life as a second lieutenant in the Department of the Air Force.",4.0,Light,68,3.0
AERS485,AERS 485,Directed Studies,AERS,3,Directed study of problems in the field of aerospace studies.,-1,Unknown,0,3.0
AFST201,AFST 201,Introduction to Africana Studies,AFST,3,"Introduction to the field of Africana Studies; interdisciplinary approach drawing from history, philosophy, sociology, political studies, literature and performance studies; explores the African foundational relationship to and connections with its diaspora populations; covers Africa, the United States, the Caribbean, Europe and South America; also taught at Qatar.",3.35,Moderate,92,3.8
AFST204,AFST 204,Introduction to African-American Literature,AFST,3,"Introduction to the writings of African Americans from the 18th century to the present, emphasizing the major themes and traditions; ENGL-204 also taught at Galveston campus.",3.4,Moderate,0,3.0
AFST205,AFST 205,Introduction to Africana Literature,AFST,3,"Works, literary movements and genres of authors of African descent in the Americas, Europe and Africa.",3.64,Moderate,0,3.0
AFST206,AFST 206,Black Psychology,AFST,3,"Critical examination of psychological experience, theories, and methods from perspectives grounded in the ""Black experience.""",-1,Unknown,0,3.7
AFST209,AFST 209,Psychology of Culture and Diversity,AFST,3,"Introduction to various issues surrounding an increasingly interconnected and globalized world by critically examining the dynamic relationship between psychological processes and diverse (e.g., motivation, memory, self, prejudice) socio-cultural contexts.",3.6,Moderate,0,3.0
AFST225,AFST 225,Reframing Public Memory - Texas and the African American,AFST,3,"Exploration of the connections between Texas and the African American cultural lens and their impact on the understanding of memory and mythmaking; examination through class lectures, readings, viewings, visits, reaction/research papers, and individual projects of public memory and the creation, maintenance, promotion, contestation, erasure, and remaking of ideas of race, dispositions, behaviors, and histories in Texas and globally.",-1,Unknown,0,3.0
AFST252,AFST 252,Introduction to Hip-Hop Philosophy,AFST,3,Introduction to philosophy by way of the major themes and subjects of Hip-Hop; critical advocacy of various philosophical ideals.,-1,Unknown,0,3.0
AFST261,AFST 261,Contemporary Issues in the Global South,AFST,3,Exploration of current political and cultural issues in the Global South. May be repeated once for credit.,-1,Unknown,0,4.3
AFST285,AFST 285,Directed Studies,AFST,4,Directed studies in the field of Africana Studies. May be taken two times for credit.,-1,Unknown,0,3.0
AFST289,AFST 289,Special Topics in…,AFST,4,Selected topics in Africana Studies. May be repeated for credit.,-1,Unknown,0,3.0
AFST291,AFST 291,Research,AFST,3,Research conducted under the direction of a faculty member in Africana Studies. May be taken three times for credit.,-1,Unknown,0,3.0
AFST300,AFST 300,"Blacks in the United States, 1607-1877",AFST,3,"Blacks in the United States from the colonial period to 1877; the slave trade, slavery, free blacks and the impact of the Civil War and Reconstruction on blacks.",2.44,Intensive,0,3.0
AFST301,AFST 301,Blacks in the United States Since 1877,AFST,3,"Blacks in the United States from the end of Reconstruction to the present; ideologies of black leaders, disfranchisement, lynching and the quest for equality in the 1950s and 1960s.",3.22,Challenging,9,3.0
AFST302,AFST 302,Gateway Course,AFST,3,"Gateway to a series of courses offered for the minor in Africana Studies; explores topics such as Afrocentrism, postcolonial studies, black cultural studies, black feminist theory for a close study of issues among African and African diaspora populations in Africa, the United States, Caribbean, Europe and South America.",-1,Unknown,0,4.9
AFST303,AFST 303,Psychology of Women of Color,AFST,3,"Interdisciplinary theories to study the unique yet intersectional experiences of women from different racial groups, ethnicities, nationalities and cultural backgrounds; scholarly research from the diversity science field; contemporary topics that have developed in a global context; examination of complex issues, which affect women of color across the lifespan.",-1,Unknown,0,3.0
AFST317,AFST 317,Racial and Ethnic Relations,AFST,3,"Status of racial and ethnic groups such as Native Americans, African Americans, Latino Americans, Asian Americans, European Americans, and other groups in the political, economic, legal and social systems of the United States.",-1,Unknown,0,4.7
AFST323,AFST 323,Sociology of African Americans,AFST,3,Major elements of the Afro-American subculture in relation to white American society and its major social institutions.,-1,Unknown,0,3.0
AFST324,AFST 324,Africana Social Sciences,AFST,3,Exploration of a significant topic pertaining to Africa and/or its diaspora in the social sciences.,-1,Unknown,0,3.0
AFST325,AFST 325,Africana Humanities,AFST,3,Exploration of a significant topic pertaining to Africa and/or its Diaspora in the humanities and arts.,3.7,Light,10,3.0
AFST326,AFST 326,Africana Popular Culture,AFST,3,Dynamics of popular culture and classic theories of society; popular and public cultural forms in context of globalization and the Africana Diaspora.,-1,Unknown,0,3.0
AFST327,AFST 327,Popular Musics in the African Diaspora,AFST,3,Examination of a range of popular musics from the twentieth century that have emerged in conjunction with the historical global spread of peoples and cultures from the African continent; technical knowledge about music is not required; focus on social and cultural contexts for popular music.,4.0,Light,9,2.7
AFST329,AFST 329,African-American Literature Pre-1930,AFST,3,Major works of the African-American literary tradition from the 18th century to 1930 studied within cultural and historical context.,-1,Unknown,0,3.0
AFST338,AFST 338,Critical Race Discourse,AFST,3,Critical analysis of communication and dialogue on race; causes and symptoms of structural racism; social/racial hierarchies as they influence and are influenced by communication and dialogue.,-1,Unknown,0,3.0
AFST339,AFST 339,African-American Literature Post-1930,AFST,3,Major works of the African-American literary tradition from the 1930s to the present studied in their cultural and historical context.,3.0,Challenging,0,3.0
AFST344,AFST 344,History of Africa to 1800,AFST,3,"Origins of humankind in Africa; development and spread of pastoralism, agriculture and iron-working; formation of states and empires; impact of Christianity and Islam; rise of international trade in gold, ivory and slaves; African diaspora.",-1,Unknown,0,3.0
AFST345,AFST 345,Modern Africa,AFST,3,Survey of Africa since 1800; pre-colonial African states and societies; establishment and impact of European colonial rule; rise of nationalist movements; achievement of independence; problems of political stability and economic development in contemporary Africa; South Africa's apartheid regime and its opponents.,-1,Unknown,0,3.0
AFST346,AFST 346,History of South Africa,AFST,3,Selected themes in the history of South Africa from the African Iron Age to the Apartheid regime; history of race relations in the 19th and 20th centuries and the rise of modern industrial state.,-1,Unknown,0,3.0
AFST352,AFST 352,Africana Philosophy,AFST,3,Presentation of the seminal ideas of several influential Africana thinkers; recovery of the neglected traditions in which these thinkers locate themselves.,-1,Unknown,0,3.0
AFST353,AFST 353,Radical Black Philosophies of Race and Racism,AFST,3,"Critical evaluation of white supremacy, colonialism and the modern construction of race; examination of the historical background for contemporary theories of race.",-1,Unknown,0,3.0
AFST357,AFST 357,Out of Africa: The Black Diaspora and the Modern World,AFST,3,"History and cultures of the peoples of the African Diaspora from the fourteenth through the nineteenth centuries; social, political, and economic impact on Africa, the Americas, Europe, and the Arab World; emphasis on race, gender, identity, and migration.",-1,Unknown,0,3.0
AFST362,AFST 362,Women and War in the African Diaspora,AFST,3,"Case studies of women and war in the African diaspora in a wide historical and comparative context; social, economic, and cultural influence of war on women’s lives; women as victims, combatants, and refugees; historical construction of race, ethnic and gender identity during times of conflict.",-1,Unknown,0,3.0
AFST377,AFST 377,Africana Women's History,AFST,3,"Black women’s history from the precolonial era to the present; emphasis on the cultural, political, legal, economic, sexual, social, and religious factors that shaped their experiences across the African Diaspora and the world.",-1,Unknown,0,3.0
