name,category,address,city,state,zip_code,phone,website,email,distance_miles,business_size,source,area_label,latitude,longitude,matched_place_id,matched_place_confidence,slug
King Buffet College Station,Restaurant,2402 Texas Avenue South,College Station,TX,77840,(979) 485-9690,https://kingbuffetcs.com/,kingbuffetcs@gmail.com,1.63,Local Independent/Franchise,OpenStreetMap,College Station,30.6083492,-96.3118488,osm:node:13392872393,1.0,king-buffet-college-station
Sweet Eugene's Java House,Cafe,1702 George Bush Drive East,College Station,TX,77840,,,,1.14,Local Independent/Franchise,OpenStreetMap,College Station,30.6177234,-96.3174447,osm:node:4102833558,1.0,sweet-eugene-s-java-house
Grub Burger Bar,Restaurant,,College Station,TX,,,,,1.39,Local Independent/Franchise,OpenStreetMap,College Station,30.635025,-96.3228729,osm:node:3845868657,0.84,grub-burger-bar
4 Brothers NY Bagels,Restaurant,1025 University Drive,College Station,TX,77840,,,,0.42,Local Independent/Franchise,OpenStreetMap,Northgate,30.6241132,-96.3396629,osm:node:13511180505,1.0,4-brothers-ny-bagels
Hungry Howie's,Restaurant,,College Station,TX,,,,,1.89,Local Independent/Franchise,OpenStreetMap,College Station,30.591945,-96.3300773,osm:node:2624158243,0.84,hungry-howie-s
Student Recreation Center,Fitness Centre,797 Olsen Boulevard,College Station,TX,77843,,,,0.88,Local Independent/Franchise,OpenStreetMap,College Station,30.6071267,-96.3426842,osm:way:91084650,1.0,student-recreation-center
Revolution Cafe & Bar,Bar,,College Station,TX,,,,,4.3,Local Independent/Franchise,OpenStreetMap,College Station,30.672321,-96.3731663,osm:node:1997919321,0.84,revolution-cafe---bar
Insomnia Cookies,Restaurant,505 University Drive,College Station,TX,77840,,,,0.49,Local Independent/Franchise,OpenStreetMap,Northgate,30.6194358,-96.3446152,osm:way:155052673,1.0,insomnia-cookies
Chimy's Cervecería Sports Bar,Pub,203 University Drive,College Station,TX,77840,,,,0.69,Local Independent/Franchise,OpenStreetMap,Northgate,30.6168862,-96.3478403,osm:way:155052721,1.0,chimy-s-cervecería-sports-bar
Half Price Books,Books,,College Station,TX,,,,,1.93,Local Independent/Franchise,OpenStreetMap,College Station,30.640121,-96.3156688,osm:node:4098715655,0.84,half-price-books
12 Northgate,Bar,209 University Drive,College Station,TX,77840,,,,0.65,Local Independent/Franchise,OpenStreetMap,Northgate,30.6171573,-96.347356,osm:way:155052773,1.0,12-northgate
The Chocolate Gallery,Cafe,,College Station,TX,,,,,4.46,Local Independent/Franchise,OpenStreetMap,College Station,30.6751747,-96.3729464,osm:node:1997929802,0.84,the-chocolate-gallery
Catalina Hatters,Marketplace,,College Station,TX,,,,,4.44,Local Independent/Franchise,OpenStreetMap,College Station,30.6748586,-96.3729598,osm:node:1997929803,0.84,catalina-hatters
The Spot on Northgate,Bar,303 Boyett Street,College Station,TX,77840,,,,0.7,Local Independent/Franchise,OpenStreetMap,Northgate,30.6179579,-96.3481754,osm:way:261326008,1.0,the-spot-on-northgate
The Corner of Time,Marketplace,,College Station,TX,,,,,4.46,Local Independent/Franchise,OpenStreetMap,College Station,30.6745518,-96.3741587,osm:node:1997929805,0.84,the-corner-of-time
Mugwalls,Cafe,,College Station,TX,,,,,1.5,Local Independent/Franchise,OpenStreetMap,College Station,30.6224123,-96.3116901,osm:node:4133914794,0.84,mugwalls
Atami,Restaurant,,College Station,TX,,,,,1.23,Local Independent/Franchise,OpenStreetMap,College Station,30.6339695,-96.3259867,osm:node:4099977169,0.84,atami
Abuelo's,Restaurant,,College Station,TX,,,,,1.28,Local Independent/Franchise,OpenStreetMap,College Station,30.6345002,-96.3252364,osm:way:319032704,0.84,abuelo-s
The Corner,Bar,,College Station,TX,,,,,0.54,Local Independent/Franchise,OpenStreetMap,College Station,30.618546,-96.3455688,osm:node:4103537954,0.84,the-corner
Cinemark,Cinema,1401 South Earl Rudder Freeway,College Station,TX,77845,,,,2.34,Local Independent/Franchise,OpenStreetMap,College Station,30.6358669,-96.3026495,osm:way:319061444,1.0,cinemark
Old Navy,Clothes,,College Station,TX,,,,,1.34,Local Independent/Franchise,OpenStreetMap,College Station,30.6109118,-96.3158432,osm:node:4922672164,0.84,old-navy
Cheddar's,Restaurant,,College Station,TX,,,,,2.0,Local Independent/Franchise,OpenStreetMap,College Station,30.6394684,-96.3130923,osm:way:319069304,0.84,cheddar-s
Newks,Restaurant,,College Station,TX,,,,,1.95,Local Independent/Franchise,OpenStreetMap,College Station,30.6395257,-96.3144811,osm:way:319069307,0.84,newks
Game X Change,Video Games,,College Station,TX,,,,,1.08,Local Independent/Franchise,OpenStreetMap,College Station,30.6143577,-96.3189773,osm:node:4931263118,0.84,game-x-change
Yogurtland,Ice Cream,,College Station,TX,,,,,1.08,Local Independent/Franchise,OpenStreetMap,College Station,30.6144323,-96.3190122,osm:node:4931263119,0.84,yogurtland
Torchy's Taco,Restaurant,1037 Texas Avenue South,College Station,TX,,,,,0.57,Local Independent/Franchise,OpenStreetMap,College Station,30.6229581,-96.3283037,osm:way:405506767,1.0,torchy-s-taco
Pei Wei,Restaurant,,College Station,TX,,,,,1.4,Local Independent/Franchise,OpenStreetMap,College Station,30.6352522,-96.3229912,osm:node:4934699406,0.84,pei-wei
On The Border,Restaurant,709 Texas Avenue South,College Station,TX,77840,,,,0.59,Local Independent/Franchise,OpenStreetMap,College Station,30.6263827,-96.3321909,osm:way:405507092,1.0,on-the-border
Cacique,Clothes,,College Station,TX,,,,,1.89,Local Independent/Franchise,OpenStreetMap,College Station,30.6397836,-96.3161368,osm:node:4934699416,0.84,cacique
Lane Bryant,Clothes,,College Station,TX,,,,,1.88,Local Independent/Franchise,OpenStreetMap,College Station,30.6396705,-96.3162991,osm:node:4934699417,0.84,lane-bryant
Chico's,Clothes,,College Station,TX,,,,,1.82,Local Independent/Franchise,OpenStreetMap,College Station,30.6382732,-96.3160966,osm:node:4934699418,0.84,chico-s
Talbots,Clothes,,College Station,TX,,,,,1.83,Local Independent/Franchise,OpenStreetMap,College Station,30.6384024,-96.3160121,osm:node:4934699419,0.84,talbots
Wayback Burgers,Fast Food,Texas Avenue,College Station,TX,77840,,,,0.96,Local Independent/Franchise,OpenStreetMap,College Station,30.6159112,-96.3206887,osm:node:4934709586,1.0,wayback-burgers
Dutch Bros,Coffee,,College Station,TX,,,,,0.78,Local Independent/Franchise,OpenStreetMap,College Station,30.6294201,-96.3325765,osm:way:407835369,0.84,dutch-bros
Urban Bricks,Restaurant,,College Station,TX,,,,,0.96,Local Independent/Franchise,OpenStreetMap,College Station,30.6158766,-96.320623,osm:node:4934709587,0.84,urban-bricks
Fazoli's,Fast Food,400 Harvey Road,College Station,TX,77840,,,,1.24,Local Independent/Franchise,OpenStreetMap,College Station,30.6172481,-96.3157747,osm:way:407839174,1.0,fazoli-s
Cake Me Away Bakery,Bakery,3141 Briarcrest Drive,Bryan,TX,77803,(979) 997-8533,,,3.4,Local Independent/Franchise,OpenStreetMap,Bryan,30.6668621,-96.3247275,osm:node:5192709367,1.0,cake-me-away-bakery
Murphy's Law,Bar,107 North Main Street,Bryan,TX,77803,,,,4.41,Local Independent/Franchise,OpenStreetMap,Downtown Bryan,30.6741504,-96.373077,osm:node:5476787265,1.0,murphy-s-law
Wings N' More Party Room,Events Venue,1803 Deacon Drive,College Station,TX,77845,,,,3.05,Local Independent/Franchise,OpenStreetMap,College Station,30.5935413,-96.2942642,osm:way:720802494,1.0,wings-n--more-party-room
Bavarian Brauhaus,Restaurant,109 North Main Street,Bryan,TX,77803,,,,4.41,Local Independent/Franchise,OpenStreetMap,Downtown Bryan,30.6742211,-96.3730726,osm:node:5476789557,1.0,bavarian-brauhaus
Decore Fitness Studio,Fitness Centre,2748 Longmire Drive,College Station,TX,77845,,,,3.04,Local Independent/Franchise,OpenStreetMap,College Station,30.5928825,-96.2950478,osm:way:720802499,1.0,decore-fitness-studio
Hot Dogs Etc.,Restaurant,,College Station,TX,,,,,4.43,Local Independent/Franchise,OpenStreetMap,College Station,30.6759109,-96.3700752,osm:way:725224806,0.84,hot-dogs-etc
Earth Art,Gift,201 South Main Street,Bryan,TX,77803,(979) 779-8208,,,4.32,Local Independent/Franchise,OpenStreetMap,Downtown Bryan,30.6725483,-96.3734464,osm:node:5824389337,1.0,earth-art
Stella's Donuts,Restaurant,,College Station,TX,,,,,3.72,Local Independent/Franchise,OpenStreetMap,College Station,30.6718649,-96.3463289,osm:way:725225251,0.84,stella-s-donuts
La Perla Taquería,Restaurant,,College Station,TX,,,,,4.93,Local Independent/Franchise,OpenStreetMap,College Station,30.6764349,-96.3851562,osm:node:5873954094,0.84,la-perla-taquería
Texas A&M Weightlifting,Sports Centre,,College Station,TX,,,,,0.78,Local Independent/Franchise,OpenStreetMap,College Station,30.6132587,-96.3480782,osm:node:5910669805,0.84,texas-a-m-weightlifting
Gold's Gym,Fitness Centre,200 Brentwood Drive East,College Station,TX,77840,,,,1.92,Local Independent/Franchise,OpenStreetMap,College Station,30.6098141,-96.3092311,osm:way:408007261,1.0,gold-s-gym
Red's Ice House,Restaurant,1025 University Drive,College Station,TX,77840,(979) 485-1004,https://redsicehousetx.com/,redsicehousetx@gmail.com,0.42,Local Independent/Franchise,"OpenStreetMap, BCS Chamber",Northgate,30.6239148,-96.3399828,osm:node:6193684320,1.0,red-s-ice-house
Nam Cafe,Restaurant,110 Nagle Street,College Station,TX,77840,(979) 703-8020,https://namcafetx.com/,info@namcafetx.com,0.45,Local Independent/Franchise,OpenStreetMap,College Station,30.6206593,-96.3436399,osm:way:870621007,1.0,nam-cafe
Lululemon,Clothes,,College Station,TX,,,,,0.46,Local Independent/Franchise,OpenStreetMap,College Station,30.6247788,-96.3397222,osm:node:6193684322,0.84,lululemon
Weinerschnitzel,Restaurant,,College Station,TX,,,,,4.03,Local Independent/Franchise,OpenStreetMap,College Station,30.6692672,-96.3703366,osm:way:875620899,0.84,weinerschnitzel
Porter's Steakhouse,Restaurant,,College Station,TX,,,,,0.5,Local Independent/Franchise,OpenStreetMap,College Station,30.6255172,-96.3392839,osm:node:6193684327,0.84,porter-s-steakhouse
TX Burger,Restaurant,14895 Wellborn Road,College Station,TX,,,,,6.18,Local Independent/Franchise,OpenStreetMap,College Station,30.5346209,-96.3012542,osm:way:971497298,1.0,tx-burger
Orangetheory Fitness,Fitness Centre,1025 University Drive,College Station,TX,77845,(979) 213-5696,,,0.42,Local Independent/Franchise,OpenStreetMap,Northgate,30.6240168,-96.3397806,osm:node:6193684361,1.0,orangetheory-fitness
The Cove,Water Sports,350 Deacon Drive West,College Station,TX,77845,,,,3.27,Local Independent/Franchise,OpenStreetMap,College Station,30.5733654,-96.3206108,osm:way:971499380,1.0,the-cove
Baked or Fried,Restaurant,311 Church Avenue,College Station,TX,77840,,,,0.63,Local Independent/Franchise,OpenStreetMap,Northgate,30.6188552,-96.3471278,osm:node:6223353900,1.0,baked-or-fried
Hullabaloo Diner,Restaurant,15045 Wellborn Road,College Station,TX,77845,(979) 690-3002,,,6.35,Local Independent/Franchise,OpenStreetMap,College Station,30.5320691,-96.3009455,osm:way:1014154403,1.0,hullabaloo-diner
Sodolkas Beefmasters,Restaurant,3500 State Highway 21 East,Bryan,TX,77808,,,,5.64,Local Independent/Franchise,OpenStreetMap,Bryan,30.6983856,-96.3572425,osm:way:1014219374,1.0,sodolkas-beefmasters
Mr. Hamburger,Restaurant,3706 Texas Avenue South,College Station,TX,,,,,1.44,Local Independent/Franchise,OpenStreetMap,College Station,30.6374853,-96.3470097,osm:way:1060575977,1.0,mr--hamburger
Los Cucos Mexican Cafe,Restaurant,1521 Texas Avenue South,College Station,TX,77840,,,,0.97,Local Independent/Franchise,OpenStreetMap,College Station,30.6176325,-96.3202829,osm:node:6223387723,1.0,los-cucos-mexican-cafe
Rockie's Grill & Saloon,Nightclub,2501 Texas Avenue South,College Station,TX,77840,,,,1.96,Local Independent/Franchise,OpenStreetMap,College Station,30.6067293,-96.3066541,osm:node:6242200496,1.0,rockie-s-grill---saloon
Ohana Korean Grill,Restaurant,2501 Texas Avenue South,College Station,TX,77840,(979) 680-9911,,,1.97,Local Independent/Franchise,OpenStreetMap,College Station,30.6069629,-96.3063882,osm:node:6762795986,1.0,ohana-korean-grill
Lytle's Comics & Games,Video Games,1804 Brothers Boulevard,College Station,TX,77845,,,,2.71,Local Independent/Franchise,OpenStreetMap,College Station,30.5955055,-96.29985,osm:node:6762963158,1.0,lytle-s-comics---games
Yoga Pod College Station,Fitness Centre,3995 State Highway 6 Frontage Road,College Station,TX,77845,(979) 693-3837,,,3.87,Local Independent/Franchise,OpenStreetMap,College Station,30.5861678,-96.2834607,osm:node:6762963163,1.0,yoga-pod-college-station
Mooyah Burgers,Fast Food,1101 William D. Fitch Parkway,College Station,TX,77845,,,,6.19,Local Independent/Franchise,OpenStreetMap,College Station,30.5606816,-96.2572591,osm:node:8218566731,1.0,mooyah-burgers
The Remnant Of Nawlins,Restaurant,1416 Groesbeck Street,Bryan,TX,77803,(979) 218-3362,,,3.78,Local Independent/Franchise,OpenStreetMap,Bryan,30.6598072,-96.3785755,osm:way:1134395202,1.0,the-remnant-of-nawlins
The 101,Bar,,College Station,TX,,,,,4.24,Local Independent/Franchise,OpenStreetMap,College Station,30.6730034,-96.3698179,osm:way:1134398248,0.84,the-101
Marfa Texas Kitchen,Restaurant,1551 Greens Prairie Road West,College Station,TX,77845,,,,6.31,Local Independent/Franchise,OpenStreetMap,College Station,30.555805,-96.2594741,osm:way:1147778853,1.0,marfa-texas-kitchen
Cooper's Old Time Pit Bar-B-Que,Restaurant,3055 South Earl Rudder Freeway,College Station,TX,77845,,,,3.12,Local Independent/Franchise,OpenStreetMap,College Station,30.5993542,-96.2891271,osm:way:1147779039,1.0,cooper-s-old-time-pit-bar-b-que
Carter's,Clothes,1505 University Drive East,College Station,TX,,,,,1.84,Local Independent/Franchise,OpenStreetMap,Northgate,30.6393977,-96.3171024,osm:node:8326278862,1.0,carter-s
Heartworks Gifts,Gift,,College Station,TX,,,,,1.83,Local Independent/Franchise,OpenStreetMap,College Station,30.6385623,-96.3160778,osm:node:8326278869,0.84,heartworks-gifts
Hyperbole Bookstore,Books,1275 Arrington Road,College Station,TX,77845,(979) 422-3427,https://hyperbolebookstore.com/,hyperbolebookstore@gmail.com,5.97,Local Independent/Franchise,OpenStreetMap,College Station,30.5578295,-96.2653343,osm:node:11397043469,1.0,hyperbole-bookstore
Tacos La Perlita,Restaurant,919 Harvey Road,College Station,TX,77840,(979) 485-9333,,,1.55,Local Independent/Franchise,OpenStreetMap,College Station,30.6230707,-96.310901,osm:node:11637219170,1.0,tacos-la-perlita
Gumby’s Pizza,Restaurant,1102 Harvey Road,College Station,TX,77840,(979) 764-8629,,,1.72,Local Independent/Franchise,OpenStreetMap,College Station,30.6236337,-96.3081271,osm:node:11637225669,1.0,gumby-s-pizza
Azmuth,Cafe,,College Station,TX,,,,,0.07,Local Independent/Franchise,OpenStreetMap,College Station,30.6190704,-96.3375994,osm:node:11693047196,0.84,azmuth
Rev's American Grill,Restaurant,,College Station,TX,,,,,0.5,Local Independent/Franchise,OpenStreetMap,College Station,30.612527,-96.3407338,osm:node:11693047203,0.84,rev-s-american-grill
E11even Bar and Grill,Restaurant,4353 Wellborn Road,College Station,TX,,(979) 450-7627,,E11evenbandg@gmail.com,0.97,Local Independent/Franchise,OpenStreetMap,College Station,30.6208889,-96.352573,osm:node:12530487079,1.0,e11even-bar-and-grill
Poke Stop,Fast Food,,College Station,TX,,,,,3.81,Local Independent/Franchise,OpenStreetMap,College Station,30.582752,-96.2879916,osm:node:12545053541,0.84,poke-stop
C&C Asian Garden,Restaurant,,College Station,TX,,,,,3.79,Local Independent/Franchise,OpenStreetMap,College Station,30.5824812,-96.2887088,osm:node:12545053562,0.84,c-c-asian-garden
Juice It Up!,Fast Food,,College Station,TX,,,,,3.8,Local Independent/Franchise,OpenStreetMap,College Station,30.5826473,-96.2881935,osm:node:12545053564,0.84,juice-it-up
Iza Robata Ramen,Restaurant,,College Station,TX,,,,,3.79,Local Independent/Franchise,OpenStreetMap,College Station,30.5824431,-96.2887807,osm:node:12545053565,0.84,iza-robata-ramen
Stella Southern Cafe,Cafe,4040 South Highway 6,College Station,TX,77845,,,,4.22,Local Independent/Franchise,OpenStreetMap,College Station,30.5794286,-96.2822595,osm:node:12597526153,1.0,stella-southern-cafe
Plato's Closet,Clothes,,College Station,TX,,,,,1.73,Local Independent/Franchise,OpenStreetMap,College Station,30.6234391,-96.3079754,osm:node:12763495490,0.84,plato-s-closet
Once Upon a Child,Clothes,,College Station,TX,,,,,1.74,Local Independent/Franchise,OpenStreetMap,College Station,30.6232891,-96.3077876,osm:node:12763495491,0.84,once-upon-a-child
Men's Wearhouse,Clothes,,College Station,TX,,,,,1.32,Local Independent/Franchise,OpenStreetMap,College Station,30.6119831,-96.3157447,osm:node:12805153991,0.84,men-s-wearhouse
Marble Slab Creamery,Ice Cream,,College Station,TX,,,,,1.29,Local Independent/Franchise,OpenStreetMap,College Station,30.6114041,-96.3165343,osm:node:12805179406,0.84,marble-slab-creamery
Champion Pizza,Restaurant,,College Station,TX,,,,,1.28,Local Independent/Franchise,OpenStreetMap,College Station,30.611449,-96.3166127,osm:node:12805179407,0.84,champion-pizza
Maurices,Clothes,,College Station,TX,,,,,3.26,Local Independent/Franchise,OpenStreetMap,College Station,30.6639195,-96.3210791,osm:node:12843227189,0.84,maurices
5.11,Clothes,,College Station,TX,,,,,1.81,Local Independent/Franchise,OpenStreetMap,College Station,30.6384287,-96.3165059,osm:node:12843249015,0.84,5-11
Good Luck Good Time Tea House,Cafe,1613 Texas Avenue South,College Station,TX,77840,(979) 709-4572,,glgtteahouse@gmail.com,0.94,Local Independent/Franchise,OpenStreetMap,College Station,30.6185822,-96.3206643,osm:node:13276893025,1.0,good-luck-good-time-tea-house
